Nombre_Empresa,Tipo,Divisa,Monto,Plazo,Fecha_Inicio_Contrato,Ejecutivo
AMÉRICA MÓVIL,Plazo,EUR,2067492.51,612,12/11/2015,Humberto Palomo
grupo méxico,Plazo,EUR,4216142.95,118,27-Dec-2020,Gabino Mariano Laureano Puente
telmex,Vista,MXN,4035951.49,1,30/04/2017,Humberto Núñez
femsa,Vista,EUR,4998562.41,1,"June 02, 2017",Fernando Cervantes Caballero
bbva méxico,Plazo,MXN,955550.8,52,09-Jul-2025,Alfonso Natalia Sevilla
grupo méxico,CEDE,MXN,3268714.63,286,2021-05-11,Ing. Pedro Frías
CEMEX,Vista,EUR,1437657.98,1,2022-08-22,Clara Cristobal Barreto Márquez
AMÉRICA MÓVIL,Vista,MXN,127124.35,1,"November 26, 2022",Fernando Cervantes Caballero
AMÉRICA MÓVIL,Plazo,EUR,1819465.53,474,27/08/2022,Víctor Judith Leal Chapa
bbva méxico,Plazo,MXN,2015451.62,218,20-Feb-2016,Dr. Virginia Pelayo
grupo bimbo,Vista,EUR,3381762.74,1,"November 13, 2022",Tania Homero Alonso
GRUPO LALA,Vista,MXN,876432.04,1,"November 30, 2022",Espartaco Feliciano
américa móvil,Plazo,MXN,928142.21,662,23-Feb-2018,Alejandro Manuel Pantoja Olivo
GRUPO BIMBO,Vista,EUR,141948.92,1,2022-12-01,Francisco Bustos Nájera
grupo lala,Plazo,MXN,4536401.14,488,"November 11, 2018",Ing. Pedro Frías
cemex,CEDE,MXN,4725400.33,566,"January 01, 2020",Liliana Adela Castro
grupo carso,CEDE,USD,4255178.45,57,22/07/2018,Irma Tomás Alfaro
AMÉRICA MÓVIL,Plazo,MXN,2980977.56,108,28/04/2020,Francisco Bustos Nájera
BANORTE,CEDE,USD,434165.81,146,21/07/2020,Mauricio Ybarra
LIVERPOOL,Plazo,MXN,715902.0,572,2025-07-02,Concepción Pedroza Ruelas
FEMSA,Plazo,USD,955398.21,225,2023-08-04,Concepción Pedroza Ruelas
walmart de méxico,Vista,USD,145056.11,1,24/09/2023,Fernando Cervantes Caballero
TELMEX,CEDE,USD,714169.69,181,"March 12, 2023",Lic. Gilberto Camacho
GRUPO LALA,Plazo,USD,4894639.37,184,19/03/2018,Óscar González Griego
BBVA MÉXICO,Plazo,USD,2858688.35,457,19/09/2019,Lic. Gilberto Camacho
bbva méxico,CEDE,MXN,442452.51,601,15-Sep-2015,Alfonso Natalia Sevilla
walmart de méxico,Vista,MXN,4401377.76,1,16-Jun-2019,Óscar González Griego
GRUPO MÉXICO,Vista,USD,3809774.08,1,22/05/2020,Daniel Nadia Camacho
grupo carso,Vista,MXN,1050120.03,1,2023-04-25,Mauricio Ybarra
banorte,CEDE,MXN,1740846.48,636,31-Jan-2024,Lic. Gilberto Camacho
grupo carso,Plazo,EUR,1516692.49,230,19-Jan-2023,Homero Cristobal Romero Cortez
BANORTE,CEDE,EUR,4994224.03,518,05/01/2018,Fernando Rivera Maestas
grupo bimbo,Vista,USD,4864130.7,1,2023-03-21,Ing. Asunción Alemán
GRUPO CARSO,Vista,MXN,4925872.34,1,24/06/2019,Daniel Nadia Camacho
pemex,Plazo,EUR,3376837.62,421,26/09/2024,Fernando Cervantes Caballero
SORIANA,Plazo,USD,1499601.56,234,"May 06, 2017",Linda Isabela Zambrano
walmart de méxico,Plazo,USD,1300050.09,656,"November 03, 2018",Clara Cristobal Barreto Márquez
GRUPO LALA,CEDE,EUR,3817628.52,443,18-Feb-2019,Inés Castro
américa móvil,Plazo,USD,3915590.18,461,2018-12-25,Mercedes Pablo Sanabria
grupo méxico,Vista,EUR,1040425.18,1,29-Dec-2017,Linda Isabela Zambrano
LIVERPOOL,CEDE,MXN,2996857.49,150,13/07/2016,Víctor Judith Leal Chapa
femsa,Vista,MXN,516301.26,1,14-Jul-2024,Espartaco Feliciano
soriana,Vista,MXN,4520568.17,1,31/12/2024,Ing. Pedro Frías
grupo méxico,Vista,MXN,3107824.79,1,19/03/2023,Frida Heredia Merino
cemex,Plazo,MXN,4759044.3,251,31/03/2024,Víctor Judith Leal Chapa
alsea,Plazo,EUR,3541887.47,388,19-Mar-2025,Daniel Escobedo Alcántar
BBVA MÉXICO,Vista,MXN,4423412.38,1,2021-07-01,Humberto Núñez
GRUPO LALA,Plazo,EUR,4461478.72,122,"June 25, 2025",Luis Manuel Ana María Vera Domínguez
grupo bimbo,Plazo,MXN,314246.08,666,14/07/2024,Juana Antonia Lira Samaniego
cemex,CEDE,USD,2679879.39,646,11/09/2022,Daniel Nadia Camacho
cemex,CEDE,MXN,4170740.95,338,24/08/2021,Liliana Adela Castro
LIVERPOOL,Vista,MXN,4189287.62,1,23/12/2019,Cornelio Serafín Concepción Delgado
PEMEX,Vista,MXN,2707977.38,1,"October 03, 2017",Eloisa Salinas Aguilar
américa móvil,Plazo,EUR,2976038.48,410,29/12/2015,Dr. Virginia Pelayo
CEMEX,Plazo,MXN,2964090.74,677,2022-12-10,Rosalia Flores
LIVERPOOL,Plazo,MXN,4951638.45,505,29/10/2015,Humberto Palomo
TELMEX,Vista,MXN,541083.24,1,30-Jul-2016,Espartaco Feliciano
LIVERPOOL,Plazo,USD,3255066.41,662,2016-09-17,Mercedes Pablo Sanabria
GRUPO LALA,Vista,EUR,3571970.28,1,2016-10-20,Gloria Otero Sáenz
grupo bimbo,Plazo,EUR,1039308.58,224,2016-06-27,Víctor Durán de la Crúz
grupo méxico,CEDE,EUR,4981141.81,185,2016-12-11,Óscar González Griego
BBVA MÉXICO,Plazo,USD,1408219.91,114,"January 17, 2024",Fernando Rivera Maestas
banorte,Vista,USD,1444630.13,1,07/07/2019,Alejandro Manuel Pantoja Olivo
telmex,Plazo,MXN,2616228.46,365,"August 06, 2017",Frida Heredia Merino
grupo méxico,Plazo,MXN,4313440.35,515,2025-05-11,Óscar González Griego
CEMEX,Vista,MXN,153186.04,1,"February 24, 2022",Anabel Anel Quintanilla
grupo bimbo,CEDE,USD,3025266.08,145,29-Dec-2015,Ruby Alma Ulloa Puente
LIVERPOOL,CEDE,EUR,1029994.2,60,2018-02-17,Tania Homero Alonso
grupo bimbo,Plazo,MXN,3349662.69,471,2021-04-12,Alfonso Natalia Sevilla
cemex,CEDE,EUR,1951973.34,603,"September 27, 2019",Ing. Asunción Alemán
grupo bimbo,Vista,MXN,1512176.13,1,2018-11-23,Francisco Bustos Nájera
TELMEX,CEDE,MXN,2431172.38,352,08-Oct-2017,Fernando Cervantes Caballero
TELMEX,Vista,EUR,1127198.45,1,2021-05-12,Ing. Pedro Frías
BBVA MÉXICO,CEDE,USD,2710743.16,218,"November 25, 2024",Tania Homero Alonso
BANORTE,Plazo,USD,2629478.53,218,"February 17, 2019",Víctor Judith Leal Chapa
PEMEX,CEDE,EUR,84470.9,413,2015-11-25,Alejandra Susana Rodríguez Muro
ALSEA,Plazo,EUR,4756608.38,105,28/02/2018,Cornelio Serafín Concepción Delgado
CEMEX,CEDE,MXN,757694.65,626,04-Jun-2022,Ing. Asunción Alemán
LIVERPOOL,Vista,EUR,123756.85,1,"April 17, 2016",Ivonne Cristian Crespo
walmart de méxico,Vista,USD,677910.87,1,06-Oct-2019,Ing. Asunción Alemán
FEMSA,Plazo,USD,1455881.83,628,17-Apr-2016,Óscar González Griego
banorte,Vista,MXN,2946200.69,1,"June 23, 2016",Dr. Virginia Pelayo
femsa,Vista,USD,846135.92,1,23/11/2015,Mercedes Pablo Sanabria
CEMEX,Vista,USD,484028.91,1,"December 31, 2023",Homero Cristobal Romero Cortez
liverpool,Vista,MXN,3327668.94,1,2022-08-15,Espartaco Feliciano
soriana,Plazo,USD,3950928.56,34,"September 03, 2023",Marco Antonio Esther Tamez Ponce
grupo carso,Plazo,USD,3893370.88,205,"December 23, 2021",Alfonso Natalia Sevilla
telmex,Plazo,EUR,2830276.2,330,21-Apr-2025,Daniel Nadia Camacho
femsa,CEDE,EUR,685506.11,686,2016-04-26,Liliana Adela Castro
CEMEX,CEDE,MXN,3436189.75,266,31-May-2016,Micaela Velásquez
soriana,Plazo,MXN,1389076.84,671,"August 25, 2022",Ing. Pedro Frías
SORIANA,Plazo,MXN,4725155.29,476,14-May-2018,Cristobal Miguel Ángel Armenta Mayorga
PEMEX,Plazo,EUR,2826973.4,269,17-Aug-2020,Clara Cristobal Barreto Márquez
américa móvil,CEDE,EUR,1332834.76,608,21/10/2023,Víctor Durán de la Crúz
TELMEX,Plazo,EUR,1583519.61,619,"March 21, 2017",Francisco Bustos Nájera
LIVERPOOL,CEDE,MXN,2527897.53,118,"October 13, 2024",Alejandra Susana Rodríguez Muro
SORIANA,Plazo,USD,2339669.47,661,29-Jul-2018,Ing. Asunción Alemán
walmart de méxico,Plazo,EUR,1507890.33,270,28/12/2022,Luis Manuel Ana María Vera Domínguez
alsea,CEDE,USD,2322722.8,133,22/09/2023,Dr. Carlos Narváez
GRUPO BIMBO,Plazo,EUR,4915966.31,157,29/08/2024,Fernando Cervantes Caballero
grupo méxico,Plazo,MXN,4341215.51,533,28/09/2018,Sr(a). Salma Esquivel
bbva méxico,CEDE,MXN,4664047.64,54,2016-09-11,Camila Ortega Nazario
grupo carso,Plazo,MXN,1240741.02,453,28-Oct-2021,Irma Tomás Alfaro
CEMEX,Vista,MXN,2365112.64,1,28-May-2016,Helena Durán
LIVERPOOL,CEDE,EUR,4960585.26,265,30/12/2021,Humberto Núñez
walmart de méxico,Vista,USD,2952100.87,1,2020-09-21,Guillermo Cristian Hernandes
grupo carso,CEDE,MXN,3701682.84,474,2024-09-29,Humberto Palomo
LIVERPOOL,CEDE,USD,1274798.29,247,"July 16, 2017",Irma Tomás Alfaro
femsa,Vista,MXN,2928877.51,1,2023-12-06,Mercedes Pablo Sanabria
FEMSA,Vista,EUR,2715133.91,1,20/06/2021,Ivonne Cristian Crespo
femsa,Plazo,EUR,3797342.82,43,"September 14, 2019",Lic. Gilberto Camacho
telmex,Vista,USD,3406612.49,1,08-Jun-2016,Dr. Virginia Pelayo
grupo lala,Vista,MXN,722730.43,1,2020-01-30,Cornelio Serafín Concepción Delgado
pemex,Plazo,USD,1799432.49,41,"August 09, 2019",Frida Heredia Merino
TELMEX,Plazo,EUR,3044668.03,341,"February 26, 2025",Mercedes Pablo Sanabria
bbva méxico,Vista,MXN,3651454.85,1,06/06/2024,Alejandra Susana Rodríguez Muro
LIVERPOOL,Vista,EUR,2484380.79,1,"April 07, 2016",Gabino Mariano Laureano Puente
pemex,Plazo,EUR,1476085.79,584,16/01/2017,Irma Tomás Alfaro
TELMEX,Vista,EUR,3391529.41,1,"October 11, 2022",Marco Antonio Esther Tamez Ponce
grupo méxico,Vista,MXN,2115139.23,1,"April 09, 2018",Víctor Durán de la Crúz
PEMEX,Vista,USD,1035490.41,1,"September 08, 2019",Eloisa Salinas Aguilar
grupo bimbo,Vista,EUR,3615194.42,1,"September 07, 2015",Óscar González Griego
grupo bimbo,CEDE,EUR,166126.64,123,2018-03-28,Daniel Nadia Camacho
GRUPO BIMBO,Vista,MXN,2384820.24,1,29-Jan-2017,Clara Cristobal Barreto Márquez
soriana,CEDE,EUR,3853455.65,295,15/02/2019,Gabino Mariano Laureano Puente
LIVERPOOL,CEDE,EUR,2943805.92,243,2023-01-03,Clara Cristobal Barreto Márquez
BANORTE,Plazo,EUR,299259.35,691,2018-03-20,Rosalia Flores
BANORTE,CEDE,USD,124371.2,631,06/12/2023,Concepción Pedroza Ruelas
LIVERPOOL,Vista,USD,346859.18,1,17-Jan-2025,Inés Castro
SORIANA,Vista,MXN,1658920.79,1,"February 12, 2024",Mauricio Ybarra
WALMART DE MÉXICO,Vista,USD,4886681.07,1,2019-10-10,Camila Ortega Nazario
américa móvil,CEDE,MXN,3779547.0,460,14/11/2024,Mercedes Pablo Sanabria
alsea,Plazo,MXN,2373039.35,443,"January 10, 2017",Víctor Judith Leal Chapa
alsea,Vista,USD,4741628.61,1,20-Jul-2016,Liliana Adela Castro
GRUPO MÉXICO,CEDE,USD,2776523.69,598,30/10/2016,Fernando Rivera Maestas
GRUPO MÉXICO,Plazo,MXN,3925691.03,281,07/02/2018,Rosalia Flores
AMÉRICA MÓVIL,CEDE,MXN,1074985.55,379,13-Sep-2020,Anabel Anel Quintanilla
cemex,Vista,MXN,2277200.31,1,"March 08, 2025",Víctor Judith Leal Chapa
bbva méxico,Plazo,MXN,357109.24,91,23/12/2018,Ruby Alma Ulloa Puente
banorte,Plazo,MXN,4242562.14,442,31/12/2015,Gabino Mariano Laureano Puente
grupo carso,Vista,USD,908679.27,1,18-Mar-2018,Homero Cristobal Romero Cortez
walmart de méxico,CEDE,USD,3385665.27,561,30-Jun-2021,Dr. Virginia Pelayo
soriana,Plazo,MXN,4358764.27,599,"December 13, 2019",Gloria Otero Sáenz
BANORTE,Vista,EUR,79095.27,1,2025-07-12,Gloria Otero Sáenz
LIVERPOOL,CEDE,USD,1597723.76,336,"May 05, 2021",Mercedes Pablo Sanabria
TELMEX,CEDE,EUR,4370170.66,278,2016-01-05,Víctor Judith Leal Chapa
GRUPO BIMBO,Vista,USD,1613363.74,1,07-Nov-2018,Linda Isabela Zambrano
banorte,CEDE,USD,1660355.67,80,2021-12-10,Samuel Yuridia Huerta
FEMSA,Vista,EUR,2116212.65,1,02/07/2020,Francisco Bustos Nájera
BANORTE,Vista,USD,1485693.63,1,2020-05-16,Dr. Carlos Narváez
FEMSA,Vista,USD,1908357.06,1,2025-01-13,Homero Cristobal Romero Cortez
GRUPO MÉXICO,CEDE,USD,566874.6,426,2022-05-24,Mercedes Pablo Sanabria
walmart de méxico,Vista,MXN,2073061.48,1,20-Oct-2018,Humberto Núñez
femsa,Plazo,MXN,2895040.81,237,"July 06, 2018",Linda Isabela Zambrano
BANORTE,Plazo,MXN,451978.82,348,11/09/2015,Ivonne Cristian Crespo
femsa,Vista,EUR,1582785.35,1,"September 03, 2021",Sr(a). Salma Esquivel
GRUPO LALA,Vista,EUR,4045249.13,1,11/12/2015,Camila Ortega Nazario
soriana,Plazo,USD,141326.23,253,13/02/2023,Linda Isabela Zambrano
bbva méxico,Plazo,EUR,1115450.76,135,"April 10, 2016",Humberto Palomo
SORIANA,Vista,MXN,306016.4,1,25/03/2021,Samuel Yuridia Huerta
BANORTE,CEDE,USD,394225.17,218,2016-08-07,Anabel Anel Quintanilla
liverpool,CEDE,MXN,2656715.57,460,10-Mar-2025,Irma Tomás Alfaro
BANORTE,CEDE,MXN,236064.32,510,"January 02, 2024",Fernando Rivera Maestas
pemex,Vista,MXN,2852065.95,1,25/10/2022,Linda Isabela Zambrano
bbva méxico,Plazo,EUR,4055887.52,324,"March 02, 2024",Dr. Carlos Narváez
TELMEX,Vista,EUR,1192517.58,1,13/01/2017,Ing. Pedro Frías
pemex,Vista,USD,2081378.36,1,"May 11, 2018",Espartaco Feliciano
LIVERPOOL,CEDE,USD,108262.66,708,2018-11-09,Ivonne Cristian Crespo
TELMEX,CEDE,EUR,362902.9,473,2021-03-29,Ing. Asunción Alemán
banorte,Vista,USD,4749628.41,1,2020-01-08,Gloria Otero Sáenz
GRUPO MÉXICO,Plazo,USD,3930356.8,392,30/08/2019,Liliana Adela Castro
grupo carso,Plazo,EUR,576568.84,342,31/12/2020,Espartaco Feliciano
grupo bimbo,CEDE,USD,3256415.74,40,23-Jun-2017,Dr. Virginia Pelayo
alsea,CEDE,MXN,777079.78,573,"June 07, 2016",Sofía de la Rosa
CEMEX,Vista,MXN,728431.35,1,"February 05, 2022",Ruby Alma Ulloa Puente
CEMEX,Plazo,USD,3520089.11,287,"August 20, 2024",Camila Ortega Nazario
FEMSA,Vista,EUR,4919192.13,1,31-Jul-2016,Francisco Bustos Nájera
walmart de méxico,Plazo,EUR,470994.32,403,2022-05-09,Sandra Rodolfo Amador
FEMSA,Vista,EUR,4323494.5,1,28-Oct-2019,Alejandra Susana Rodríguez Muro
liverpool,CEDE,USD,4983438.73,85,14-Mar-2021,Sofía de la Rosa
GRUPO LALA,Vista,MXN,2900347.58,1,2021-03-19,Rosalia Flores
banorte,Plazo,MXN,1595029.34,545,27-Jul-2020,Ruby Alma Ulloa Puente
banorte,Vista,USD,3473546.07,1,"February 22, 2017",Eloisa Salinas Aguilar
AMÉRICA MÓVIL,Plazo,MXN,938251.06,510,2016-07-21,Linda Isabela Zambrano
liverpool,Plazo,MXN,4163192.05,254,2018-04-18,Ing. Asunción Alemán
FEMSA,CEDE,USD,4650974.44,94,24/04/2020,Ivonne Cristian Crespo
SORIANA,Vista,MXN,165391.34,1,2017-07-29,Víctor Durán de la Crúz
américa móvil,Plazo,EUR,2644242.02,205,2017-09-22,Ing. Pedro Frías
GRUPO CARSO,Vista,MXN,2775731.08,1,2020-05-03,Micaela Velásquez
FEMSA,Plazo,USD,1967320.26,687,"September 22, 2017",Sandra Rodolfo Amador
grupo lala,Vista,MXN,3055317.03,1,2022-11-07,Alejandro Manuel Pantoja Olivo
PEMEX,CEDE,EUR,1325478.39,482,19/07/2023,Guillermo Cristian Hernandes
CEMEX,Vista,MXN,1804722.54,1,18-Oct-2018,Eloisa Salinas Aguilar
TELMEX,Vista,MXN,1910276.79,1,2022-03-02,Samuel Yuridia Huerta
PEMEX,CEDE,MXN,3196589.16,212,"October 29, 2021",Micaela Velásquez
GRUPO LALA,Vista,USD,2627767.4,1,12/01/2018,Víctor Judith Leal Chapa
SORIANA,Plazo,MXN,4866114.05,218,2021-04-18,Mauricio Ybarra
SORIANA,Vista,USD,232046.32,1,2024-02-14,Tania Homero Alonso
liverpool,Plazo,EUR,3312245.67,495,14/08/2024,Víctor Judith Leal Chapa
ALSEA,Plazo,EUR,2724184.87,648,2024-08-03,Ivonne Cristian Crespo
banorte,Vista,USD,3626935.38,1,2025-07-02,Homero Cristobal Romero Cortez
PEMEX,Vista,MXN,2890282.72,1,05/09/2022,Ruby Alma Ulloa Puente
BBVA MÉXICO,Vista,USD,3521763.8,1,"November 30, 2017",Linda Isabela Zambrano
AMÉRICA MÓVIL,Vista,EUR,2845246.16,1,"July 13, 2023",Rosalia Flores
LIVERPOOL,Vista,EUR,1784741.4,1,10/02/2018,Dr. Virginia Pelayo
soriana,Plazo,MXN,1193932.4,109,2018-09-14,Alejandra Susana Rodríguez Muro
walmart de méxico,CEDE,MXN,4059617.44,172,12-Dec-2016,Sr(a). Salma Esquivel
pemex,Vista,MXN,854226.09,1,2017-03-23,Fernando Cervantes Caballero
grupo lala,CEDE,MXN,2946434.61,332,"March 05, 2016",Víctor Judith Leal Chapa
TELMEX,Vista,MXN,920164.05,1,"September 02, 2018",Anabel Anel Quintanilla
telmex,Vista,USD,4404775.49,1,"July 11, 2018",Gabino Mariano Laureano Puente
LIVERPOOL,Plazo,MXN,2264956.87,714,2022-03-10,Alejandro Manuel Pantoja Olivo
walmart de méxico,Vista,USD,2809980.27,1,04-Sep-2016,Daniel Nadia Camacho
GRUPO LALA,Vista,EUR,2847303.88,1,2018-08-05,Daniel Nadia Camacho
CEMEX,CEDE,USD,2083764.8,158,03-Jan-2020,Ruby Alma Ulloa Puente
alsea,Vista,MXN,3323183.77,1,2022-10-12,Dr. Carlos Narváez
liverpool,Plazo,USD,2367329.77,423,2021-02-13,Camila Ortega Nazario
pemex,CEDE,EUR,1732572.73,651,26-Sep-2018,Espartaco Feliciano
américa móvil,Vista,EUR,343818.47,1,02/11/2017,Eloisa Salinas Aguilar
WALMART DE MÉXICO,CEDE,USD,585562.99,134,"November 19, 2016",Óscar González Griego
grupo lala,CEDE,MXN,871391.24,263,2024-05-05,Daniel Nadia Camacho
grupo lala,Vista,USD,333185.62,1,17/12/2022,Marco Antonio Esther Tamez Ponce
TELMEX,Plazo,MXN,3254433.07,453,18-Nov-2022,Óscar González Griego
GRUPO BIMBO,Plazo,USD,2572400.83,120,2021-12-21,Sr(a). Salma Esquivel
GRUPO MÉXICO,CEDE,EUR,4948232.0,130,2021-10-19,Dr. Virginia Pelayo
bbva méxico,CEDE,USD,609365.5,247,15/05/2018,Humberto Palomo
grupo lala,CEDE,USD,962772.36,280,11/12/2017,Fernando Cervantes Caballero
femsa,Plazo,USD,4229327.39,679,29/03/2019,Sr(a). Salma Esquivel
BBVA MÉXICO,CEDE,USD,4169437.47,52,29/12/2019,Camila Ortega Nazario
soriana,CEDE,MXN,4967965.37,103,01/07/2023,Mercedes Pablo Sanabria
BANORTE,CEDE,MXN,922095.19,186,13-Aug-2024,Alejandra Susana Rodríguez Muro
cemex,CEDE,EUR,2210070.32,395,03/04/2023,Juana Antonia Lira Samaniego
américa móvil,Plazo,USD,3128760.31,413,"March 31, 2024",Homero Cristobal Romero Cortez
GRUPO LALA,Plazo,EUR,2879856.72,437,20-Dec-2021,Luis Manuel Ana María Vera Domínguez
ALSEA,Plazo,EUR,1563890.94,574,12-Aug-2025,Mercedes Pablo Sanabria
femsa,CEDE,EUR,4730286.93,475,"March 07, 2020",Alfonso Natalia Sevilla
pemex,CEDE,MXN,1008017.29,305,31-Aug-2018,Samuel Yuridia Huerta
américa móvil,Plazo,EUR,111964.16,238,22/01/2016,Víctor Durán de la Crúz
cemex,Plazo,USD,3876401.35,139,2018-05-11,Cristobal Miguel Ángel Armenta Mayorga
WALMART DE MÉXICO,Vista,USD,4457795.73,1,20/08/2018,Micaela Velásquez
PEMEX,CEDE,MXN,1830636.67,407,10/09/2024,Cornelio Serafín Concepción Delgado
pemex,CEDE,MXN,2594738.79,429,03/02/2018,Concepción Pedroza Ruelas
LIVERPOOL,Plazo,USD,1943799.09,41,2017-09-18,Francisco Bustos Nájera
américa móvil,CEDE,MXN,1596344.43,663,06-Apr-2019,Francisco Bustos Nájera
BANORTE,Vista,MXN,4691149.88,1,2016-09-16,Alejandro Manuel Pantoja Olivo
PEMEX,Plazo,EUR,1394809.66,175,28/06/2021,Espartaco Feliciano
SORIANA,CEDE,USD,1276552.22,280,18-Nov-2015,Linda Isabela Zambrano
femsa,Plazo,EUR,2308506.55,516,28-Jan-2025,Rosalia Flores
grupo carso,Plazo,MXN,1341657.99,267,2019-12-08,Micaela Velásquez
walmart de méxico,Plazo,USD,387696.85,426,"November 26, 2021",Anabel Anel Quintanilla
CEMEX,Plazo,USD,2718916.84,277,2022-06-30,Humberto Núñez
soriana,CEDE,MXN,3566135.94,599,09-Dec-2021,Marco Antonio Esther Tamez Ponce
LIVERPOOL,Plazo,USD,1077261.46,481,28-Feb-2022,Ruby Alma Ulloa Puente
femsa,Plazo,EUR,2576488.9,719,"June 23, 2016",Liliana Adela Castro
PEMEX,Vista,EUR,3799890.4,1,04/06/2017,Ivonne Cristian Crespo
banorte,Plazo,EUR,58791.54,203,09/03/2020,Samuel Yuridia Huerta
AMÉRICA MÓVIL,CEDE,EUR,624677.78,405,21-Jul-2016,Fernando Rivera Maestas
walmart de méxico,Plazo,EUR,2187724.79,282,14/09/2021,Concepción Pedroza Ruelas
GRUPO MÉXICO,CEDE,USD,1228073.19,313,"October 10, 2024",Sandra Rodolfo Amador
BANORTE,Vista,EUR,305125.78,1,2022-10-31,Rosalia Flores
BANORTE,CEDE,EUR,1248954.62,681,09/02/2018,Eloisa Salinas Aguilar
walmart de méxico,Vista,USD,614725.01,1,31/08/2020,Mercedes Pablo Sanabria
TELMEX,Vista,USD,3449351.13,1,"August 10, 2024",Sofía de la Rosa
soriana,CEDE,EUR,4366246.79,217,13-Mar-2025,Óscar González Griego
CEMEX,Plazo,USD,3558510.06,407,2018-04-20,Camila Ortega Nazario
alsea,CEDE,MXN,3244420.48,472,"April 17, 2023",Lic. Gilberto Camacho
CEMEX,Vista,EUR,3204377.62,1,"October 05, 2016",Humberto Palomo
alsea,CEDE,MXN,2765659.42,346,2020-10-22,Ing. Pedro Frías
FEMSA,CEDE,USD,749606.66,452,03-Jan-2019,Cristobal Miguel Ángel Armenta Mayorga
grupo bimbo,CEDE,EUR,3474298.42,686,15-Feb-2023,Daniel Nadia Camacho
grupo lala,CEDE,USD,351513.78,522,"February 25, 2023",Dr. Virginia Pelayo
soriana,CEDE,MXN,2124513.34,299,13-Apr-2018,Luis Manuel Ana María Vera Domínguez
CEMEX,Vista,USD,1326998.43,1,14/04/2022,Cristobal Miguel Ángel Armenta Mayorga
liverpool,CEDE,EUR,4138633.55,359,16/11/2017,Lic. Gilberto Camacho
cemex,Plazo,USD,4790825.5,716,02-Mar-2020,Mercedes Pablo Sanabria
grupo bimbo,CEDE,EUR,2931820.27,331,"May 21, 2019",Tania Homero Alonso
GRUPO BIMBO,CEDE,USD,3229684.72,469,2025-02-12,Francisco Bustos Nájera
LIVERPOOL,Plazo,MXN,3757428.5,549,04-Feb-2025,Sr(a). Salma Esquivel
femsa,CEDE,USD,1639874.11,271,"March 22, 2016",Gabino Mariano Laureano Puente
grupo méxico,Vista,EUR,3171418.26,1,"June 22, 2019",Clara Cristobal Barreto Márquez
américa móvil,CEDE,EUR,2909632.14,585,"May 14, 2021",Marco Antonio Esther Tamez Ponce
GRUPO BIMBO,Plazo,MXN,1465641.88,463,24/11/2023,Sr(a). Salma Esquivel
femsa,Plazo,EUR,1933253.37,419,20-Jul-2022,Ing. Pedro Frías
TELMEX,Plazo,USD,2068769.42,398,28/07/2020,Samuel Yuridia Huerta
walmart de méxico,Vista,USD,1093414.66,1,04-Mar-2024,Liliana Adela Castro
CEMEX,CEDE,EUR,4880380.85,406,09/02/2023,Frida Heredia Merino
WALMART DE MÉXICO,Plazo,EUR,2031327.46,460,"January 14, 2023",Eloisa Salinas Aguilar
WALMART DE MÉXICO,Vista,USD,3331136.06,1,2023-10-20,Daniel Escobedo Alcántar
grupo bimbo,CEDE,USD,173409.24,557,"October 10, 2015",Espartaco Feliciano
PEMEX,Plazo,EUR,3817342.79,39,30-Dec-2022,Gabino Mariano Laureano Puente
GRUPO LALA,Vista,EUR,2979320.14,1,2019-10-26,Tania Homero Alonso
alsea,Plazo,USD,798811.29,38,11-Jul-2021,Micaela Velásquez
LIVERPOOL,Vista,EUR,538033.33,1,2016-06-27,Juana Antonia Lira Samaniego
grupo lala,CEDE,USD,1420130.43,503,"September 27, 2024",Rosalia Flores
liverpool,CEDE,USD,3194892.65,257,24/05/2016,Ing. Pedro Frías
FEMSA,Vista,USD,858802.34,1,27-Oct-2018,Alejandro Manuel Pantoja Olivo
GRUPO MÉXICO,Plazo,MXN,4850273.33,324,"July 05, 2021",Alfonso Natalia Sevilla
bbva méxico,CEDE,MXN,933484.85,178,02/09/2024,Óscar González Griego
soriana,CEDE,EUR,3412712.97,123,21-Oct-2023,Alejandro Manuel Pantoja Olivo
WALMART DE MÉXICO,Plazo,EUR,4936736.28,541,06/08/2017,Mercedes Pablo Sanabria
GRUPO LALA,Vista,USD,3093696.64,1,2020-08-15,Linda Isabela Zambrano
femsa,CEDE,EUR,3722430.23,37,06/11/2016,Alejandro Manuel Pantoja Olivo
grupo méxico,Plazo,EUR,4667709.85,323,2022-12-15,Óscar González Griego
walmart de méxico,CEDE,MXN,1078546.76,616,2021-08-28,Humberto Núñez
banorte,Vista,MXN,4527648.32,1,"April 14, 2016",Fernando Cervantes Caballero
SORIANA,CEDE,USD,2977227.08,510,06-Jul-2020,Eloisa Salinas Aguilar
GRUPO BIMBO,Vista,USD,3591692.65,1,2021-11-05,Alejandro Manuel Pantoja Olivo
ALSEA,CEDE,USD,3185605.9,264,2022-08-21,Juana Antonia Lira Samaniego
GRUPO LALA,Vista,USD,4010704.55,1,"September 08, 2017",Víctor Durán de la Crúz
GRUPO CARSO,CEDE,EUR,3528385.07,415,2020-09-16,Cristobal Miguel Ángel Armenta Mayorga
LIVERPOOL,CEDE,EUR,1953250.61,190,07-Sep-2017,Linda Isabela Zambrano
GRUPO MÉXICO,Plazo,EUR,4035766.46,508,15-Mar-2017,Cristobal Miguel Ángel Armenta Mayorga
